seed,source_dataset,num_cases,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate
7,csm,900,0.0,0.0,0.0,0.0,0.7455555555555555
11,csm,900,0.0,0.0,0.0,0.0,0.6933333333333334
19,csm,900,0.0,0.0,0.0,0.0,0.7244444444444444
23,csm,900,0.0,0.0,0.0,0.0,0.7155555555555555
31,csm,900,0.0,0.0,0.0,0.0,0.7277777777777777
7,mp,2300,-0.0012975350456963417,0.0,-0.0012143912691039123,8.314377659242944e-05,0.2643478260869565
11,mp,2300,-0.0009903625267705257,0.0,-0.0008531749625802299,0.00013718756419029595,0.25521739130434784
19,mp,2300,-0.0003088680414343819,0.0,-0.00030530382575556136,3.564215678820538e-06,0.2682608695652174
23,mp,2300,-0.0003088680414343819,0.0,-0.00030530382575556136,3.564215678820538e-06,0.2669565217391304
31,mp,2300,-0.0003088680414343819,0.0,-0.00030530382575556136,3.564215678820538e-06,0.2608695652173913
7,parasol,18,0.0,0.0,0.0,0.0,0.4444444444444444
11,parasol,18,0.0,0.0,0.0,0.0,0.3888888888888889
19,parasol,18,0.0,0.0,0.0,0.0,0.3333333333333333
23,parasol,18,0.0,0.0,0.0,0.0,0.4444444444444444
31,parasol,18,0.0,0.0,0.0,0.0,0.3888888888888889
